label,recall,precision
human,0.0036900369003690036,1.0
human,0.007380073800738007,1.0
human,0.01107011070110701,1.0
human,0.014760147601476014,1.0
human,0.01845018450184502,1.0
human,0.02214022140221402,1.0
human,0.025830258302583026,1.0
human,0.02952029520295203,1.0
human,0.033210332103321034,1.0
human,0.03690036900369004,1.0
human,0.04059040590405904,1.0
human,0.04428044280442804,1.0
human,0.04797047970479705,1.0
human,0.05166051660516605,1.0
human,0.055350553505535055,1.0
human,0.055350553505535055,0.9375
human,0.05904059040590406,0.9411764705882353
human,0.06273062730627306,0.9444444444444444
human,0.06642066420664207,0.9473684210526315
human,0.07011070110701106,0.95
human,0.07380073800738007,0.9523809523809523
human,0.07749077490774908,0.9545454545454546
human,0.08118081180811808,0.9565217391304348
human,0.08487084870848709,0.9583333333333334
human,0.08856088560885608,0.96
human,0.09225092250922509,0.9615384615384616
human,0.0959409594095941,0.9629629629629629
human,0.0996309963099631,0.9642857142857143
human,0.1033210332103321,0.9655172413793104
human,0.1070110701107011,0.9666666666666667
human,0.11070110701107011,0.967741935483871
human,0.11439114391143912,0.96875
human,0.11808118081180811,0.9696969696969697
human,0.12177121771217712,0.9705882352941176
human,0.12546125461254612,0.9714285714285714
human,0.12915129151291513,0.9722222222222222
human,0.13284132841328414,0.972972972972973
human,0.13653136531365315,0.9736842105263158
human,0.14022140221402213,0.9743589743589743
human,0.14391143911439114,0.975
human,0.14760147601476015,0.975609756097561
human,0.15129151291512916,0.9761904761904762
human,0.15498154981549817,0.9767441860465116
human,0.15867158671586715,0.9772727272727273
human,0.16236162361623616,0.9777777777777777
human,0.16605166051660517,0.9782608695652174
human,0.16974169741697417,0.9787234042553191
human,0.16974169741697417,0.9583333333333334
human,0.17343173431734318,0.9591836734693877
human,0.17712177121771217,0.96
human,0.17712177121771217,0.9411764705882353
human,0.18081180811808117,0.9423076923076923
human,0.18450184501845018,0.9433962264150944
human,0.1881918819188192,0.9444444444444444
human,0.1918819188191882,0.9454545454545454
human,0.19557195571955718,0.9464285714285714
human,0.1992619926199262,0.9473684210526315
human,0.2029520295202952,0.9482758620689655
human,0.2066420664206642,0.9491525423728814
human,0.21033210332103322,0.95
human,0.2140221402214022,0.9508196721311475
human,0.2177121771217712,0.9516129032258065
human,0.22140221402214022,0.9523809523809523
human,0.22509225092250923,0.953125
human,0.22878228782287824,0.9538461538461539
human,0.23247232472324722,0.9545454545454546
human,0.23616236162361623,0.9552238805970149
human,0.23985239852398524,0.9558823529411765
human,0.24354243542435425,0.9565217391304348
human,0.24723247232472326,0.9571428571428572
human,0.25092250922509224,0.9577464788732394
human,0.25461254612546125,0.9583333333333334
human,0.25830258302583026,0.958904109589041
human,0.26199261992619927,0.9594594594594594
human,0.2656826568265683,0.96
human,0.2656826568265683,0.9473684210526315
human,0.2693726937269373,0.948051948051948
human,0.2730627306273063,0.9487179487179487
human,0.2767527675276753,0.9493670886075949
human,0.28044280442804426,0.95
human,0.28413284132841327,0.9506172839506173
human,0.2878228782287823,0.9512195121951219
human,0.2915129151291513,0.9518072289156626
human,0.2952029520295203,0.9523809523809523
human,0.2988929889298893,0.9529411764705882
human,0.3025830258302583,0.9534883720930233
human,0.3062730627306273,0.9540229885057471
